1,5,0,Null,神域の、普段は人が寄り付かない静かな湖で、ルミナを見つけた……
2,5,0,Null,しかし、普段とは違う異質な雰囲気に、クロトは近づけなかった。
3,5,3,クロト,（あれ……ルミナ、だよな？　いつもとまるで雰囲気が違う。暗くて冷たくて、何の温度も感じない）
4,5,14,ルミナ,はぁ。シースティちゃんに会いたいな
5,5,14,ルミナ,一年間の謹慎は正直予想外だったなぁ。シースティちゃんのコロニーに入ることも禁止されてるし……
6,5,3,クロト,（え？　何を言っているんだ？　予想外って）
7,5,5,Null,今目の前にいたはずのルミナがシースティに変化した。
8,5,0,Null,――彼は今回の事件、その黒幕を悟った
9,0,9,ルイス,……クロトは、俺たちの事件の概要を知っているのか？
10,0,4,クロト,うん……
11,0,4,クロト,（いわなくちゃいけない。あの日見たこと……ルミナの本性を）
12,0,12,ルイス,まったく、俺もバカだったよな。所詮は敵コロニーの人間に情など向けて。あの頃の自分が恥ずかしい
13,0,4,クロト,……恥ずかしがる必要なんてないでしょ。
14,0,4,クロト,二人は、絶対に両想いだった
15,0,12,ルイス,それもあいつの作戦だっただけだ。
16,0,4,クロト,あれは、二人のせいじゃない。黒幕がいるんだよ
17,0,11,ルイス,黒幕？　俺たちは戦いあったんだ。
18,0,11,ルイス,間違えるわけがないだろう
19,0,3,クロト,間違えるよ……彼女は、姿を変える力を持ってるんだ。
20,0,3,クロト,黒幕は……ルミナだよ
21,0,12,ルイス,それこそ意味が分からないな。
22,0,12,ルイス,俺たち両コロニーを不仲にする作戦なら大成功ではあるが、彼女にうまみは少ないだろう
23,0,4,クロト,ルミナは……シースティのことが好きだったんだよ
24,0,11,ルイス,……俺はそれを信用できるほど、夢想家じゃない
25,0,3,クロト,なんで……昔のルイ兄はそんなんじゃなかった！
26,0,3,クロト,どうして信じてくれないんだ！
27,0,11,ルイス,あんなことがあって他コロニーの言葉を素直に聞けるわけがないだろう
28,0,3,クロト,だからそれが誤解なんだよ！
29,0,11,ルイス,そんなに自分の意見を通したいなら実力で示せ
30,0,3,クロト,上等だ！　勝てると思っているんだろうが、
31,0,3,クロト,その考えが間違いだって教えてやる！
